,model,layer,accuracy,experiment
414,alexnet,ReLU-4,1,curv
415,alexnet,ReLU-4,1,curv
416,alexnet,ReLU-4,1,curv
417,alexnet,ReLU-4,1,curv
418,alexnet,ReLU-4,1,curv
419,alexnet,ReLU-4,1,curv
420,alexnet,ReLU-4,0,curv
421,alexnet,ReLU-4,1,curv
422,alexnet,ReLU-4,1,curv
423,alexnet,ReLU-4,0,curv
424,alexnet,ReLU-4,1,curv
425,alexnet,ReLU-4,1,curv
426,alexnet,ReLU-4,1,curv
427,alexnet,ReLU-4,1,curv
428,alexnet,ReLU-4,1,curv
429,alexnet,ReLU-4,1,curv
430,alexnet,ReLU-4,1,curv
431,alexnet,ReLU-4,1,curv
432,alexnet,ReLU-4,0,curv
433,alexnet,ReLU-4,1,curv
434,alexnet,ReLU-4,1,curv
435,alexnet,ReLU-4,0,curv
436,alexnet,ReLU-4,0,curv
437,alexnet,ReLU-4,0,curv
438,alexnet,ReLU-4,1,curv
439,alexnet,ReLU-4,1,curv
440,alexnet,ReLU-4,0,curv
441,alexnet,ReLU-4,1,curv
442,alexnet,ReLU-4,1,curv
443,alexnet,ReLU-4,1,curv
444,alexnet,ReLU-4,0,curv
445,alexnet,ReLU-4,0,curv
446,alexnet,ReLU-4,0,curv
447,alexnet,ReLU-4,1,curv
448,alexnet,ReLU-4,1,curv
449,alexnet,ReLU-4,0,curv
450,alexnet,ReLU-4,1,curv
451,alexnet,ReLU-4,0,curv
452,alexnet,ReLU-4,1,curv
453,alexnet,ReLU-4,1,curv
454,alexnet,ReLU-4,1,curv
455,alexnet,ReLU-4,1,curv
456,alexnet,ReLU-4,1,curv
457,alexnet,ReLU-4,0,curv
458,alexnet,ReLU-4,1,curv
459,alexnet,ReLU-4,1,curv
460,alexnet,ReLU-4,1,curv
461,alexnet,ReLU-4,1,curv
462,alexnet,ReLU-4,0,curv
463,alexnet,ReLU-4,1,curv
464,alexnet,ReLU-4,1,curv
465,alexnet,ReLU-4,1,curv
466,alexnet,ReLU-4,1,curv
467,alexnet,ReLU-4,1,curv
468,alexnet,ReLU-4,1,curv
469,alexnet,ReLU-4,1,curv
470,alexnet,ReLU-4,1,curv
471,alexnet,ReLU-4,1,curv
472,alexnet,ReLU-4,1,curv
473,alexnet,ReLU-4,1,curv
474,alexnet,ReLU-4,1,curv
475,alexnet,ReLU-4,1,curv
476,alexnet,ReLU-4,1,curv
477,alexnet,ReLU-4,1,curv
478,alexnet,ReLU-4,1,curv
479,alexnet,ReLU-4,1,curv
480,alexnet,ReLU-5,0,curv
481,alexnet,ReLU-5,1,curv
482,alexnet,ReLU-5,0,curv
483,alexnet,ReLU-5,1,curv
484,alexnet,ReLU-5,1,curv
485,alexnet,ReLU-5,0,curv
486,alexnet,ReLU-5,0,curv
487,alexnet,ReLU-5,1,curv
488,alexnet,ReLU-5,1,curv
489,alexnet,ReLU-5,0,curv
490,alexnet,ReLU-5,1,curv
491,alexnet,ReLU-5,1,curv
492,alexnet,ReLU-5,1,curv
493,alexnet,ReLU-5,1,curv
494,alexnet,ReLU-5,1,curv
495,alexnet,ReLU-5,0,curv
496,alexnet,ReLU-5,0,curv
497,alexnet,ReLU-5,1,curv
498,alexnet,ReLU-5,1,curv
499,alexnet,ReLU-5,1,curv
500,alexnet,ReLU-5,1,curv
501,alexnet,ReLU-5,1,curv
502,alexnet,ReLU-5,0,curv
503,alexnet,ReLU-5,1,curv
504,alexnet,ReLU-5,1,curv
505,alexnet,ReLU-5,1,curv
506,alexnet,ReLU-5,1,curv
507,alexnet,ReLU-5,1,curv
508,alexnet,ReLU-5,1,curv
509,alexnet,ReLU-5,1,curv
510,alexnet,ReLU-5,1,curv
511,alexnet,ReLU-5,1,curv
512,alexnet,ReLU-5,1,curv
513,alexnet,ReLU-5,1,curv
514,alexnet,ReLU-5,1,curv
515,alexnet,ReLU-5,1,curv
516,alexnet,ReLU-5,1,curv
517,alexnet,ReLU-5,1,curv
518,alexnet,ReLU-5,1,curv
519,alexnet,ReLU-5,1,curv
520,alexnet,ReLU-5,1,curv
521,alexnet,ReLU-5,1,curv
522,alexnet,ReLU-5,1,curv
523,alexnet,ReLU-5,1,curv
524,alexnet,ReLU-5,1,curv
525,alexnet,ReLU-5,1,curv
526,alexnet,ReLU-5,1,curv
527,alexnet,ReLU-5,1,curv
528,alexnet,ReLU-5,1,curv
529,alexnet,ReLU-5,1,curv
530,alexnet,ReLU-5,1,curv
531,alexnet,ReLU-5,1,curv
532,alexnet,ReLU-5,1,curv
533,alexnet,ReLU-5,1,curv
534,alexnet,ReLU-5,1,curv
535,alexnet,ReLU-5,1,curv
536,alexnet,ReLU-5,1,curv
537,alexnet,ReLU-5,1,curv
538,alexnet,ReLU-5,1,curv
539,alexnet,ReLU-5,1,curv
540,alexnet,ReLU-5,1,curv
541,alexnet,ReLU-5,1,curv
542,alexnet,ReLU-5,1,curv
543,alexnet,ReLU-5,1,curv
544,alexnet,ReLU-5,1,curv
545,alexnet,ReLU-5,1,curv
546,alexnet,ReLU-5,1,curv
547,alexnet,ReLU-5,1,curv
548,alexnet,ReLU-5,1,curv
549,alexnet,ReLU-5,1,curv
550,alexnet,ReLU-5,1,curv
551,alexnet,ReLU-5,1,curv
552,alexnet,ReLU-5,1,curv
553,alexnet,ReLU-5,1,curv
554,alexnet,ReLU-5,1,curv
555,alexnet,ReLU-5,0,curv
556,alexnet,ReLU-5,1,curv
557,alexnet,ReLU-5,1,curv
558,alexnet,ReLU-5,1,curv
559,alexnet,ReLU-5,1,curv
560,alexnet,ReLU-5,1,curv
561,alexnet,ReLU-5,1,curv
562,alexnet,ReLU-5,1,curv
563,alexnet,ReLU-5,1,curv
564,alexnet,ReLU-5,1,curv
565,alexnet,ReLU-5,1,curv
566,alexnet,ReLU-5,0,curv
567,alexnet,ReLU-5,1,curv
568,alexnet,ReLU-5,1,curv
