,model,layer,accuracy
298,alexnet,ReLU-3,1.0
299,alexnet,ReLU-3,1.0
300,alexnet,ReLU-3,1.0
301,alexnet,ReLU-3,1.0
302,alexnet,ReLU-3,1.0
303,alexnet,ReLU-3,1.0
304,alexnet,ReLU-3,1.0
305,alexnet,ReLU-3,1.0
306,alexnet,ReLU-3,1.0
307,alexnet,ReLU-3,1.0
308,alexnet,ReLU-3,0.75
309,alexnet,ReLU-3,1.0
310,alexnet,ReLU-3,1.0
311,alexnet,ReLU-3,1.0
312,alexnet,ReLU-3,0.75
313,alexnet,ReLU-3,0.75
314,alexnet,ReLU-3,1.0
315,alexnet,ReLU-3,1.0
316,alexnet,ReLU-3,1.0
317,alexnet,ReLU-3,1.0
318,alexnet,ReLU-3,1.0
319,alexnet,ReLU-3,0.75
320,alexnet,ReLU-3,1.0
321,alexnet,ReLU-3,0.75
322,alexnet,ReLU-3,1.0
323,alexnet,ReLU-3,0.75
324,alexnet,ReLU-3,1.0
325,alexnet,ReLU-3,1.0
326,alexnet,ReLU-3,1.0
327,alexnet,ReLU-3,1.0
328,alexnet,ReLU-3,1.0
329,alexnet,ReLU-3,1.0
330,alexnet,ReLU-3,1.0
331,alexnet,ReLU-3,0.75
332,alexnet,ReLU-3,0.75
333,alexnet,ReLU-3,1.0
334,alexnet,ReLU-3,0.75
335,alexnet,ReLU-3,1.0
336,alexnet,ReLU-3,1.0
337,alexnet,ReLU-3,1.0
338,alexnet,ReLU-3,1.0
339,alexnet,ReLU-3,1.0
340,alexnet,ReLU-3,1.0
341,alexnet,ReLU-3,1.0
342,alexnet,ReLU-3,1.0
343,alexnet,ReLU-3,1.0
344,alexnet,ReLU-3,1.0
345,alexnet,ReLU-3,1.0
346,alexnet,ReLU-3,1.0
347,alexnet,ReLU-3,1.0
348,alexnet,ReLU-3,1.0
349,alexnet,ReLU-3,1.0
350,alexnet,ReLU-3,1.0
351,alexnet,ReLU-3,1.0
352,alexnet,ReLU-3,1.0
353,alexnet,ReLU-3,1.0
354,alexnet,ReLU-3,1.0
355,alexnet,ReLU-3,1.0
356,alexnet,ReLU-3,1.0
357,alexnet,ReLU-3,1.0
358,alexnet,ReLU-3,1.0
359,alexnet,ReLU-3,1.0
360,alexnet,ReLU-4,1.0
361,alexnet,ReLU-4,1.0
362,alexnet,ReLU-4,0.75
363,alexnet,ReLU-4,0.75
364,alexnet,ReLU-4,0.75
365,alexnet,ReLU-4,0.75
366,alexnet,ReLU-4,1.0
367,alexnet,ReLU-4,0.75
368,alexnet,ReLU-4,1.0
369,alexnet,ReLU-4,1.0
370,alexnet,ReLU-4,0.75
371,alexnet,ReLU-4,1.0
372,alexnet,ReLU-4,0.5
373,alexnet,ReLU-4,0.5
374,alexnet,ReLU-4,1.0
375,alexnet,ReLU-4,0.75
376,alexnet,ReLU-4,0.75
377,alexnet,ReLU-4,0.75
378,alexnet,ReLU-4,0.5
379,alexnet,ReLU-4,0.75
380,alexnet,ReLU-4,1.0
381,alexnet,ReLU-4,1.0
382,alexnet,ReLU-4,1.0
383,alexnet,ReLU-4,1.0
384,alexnet,ReLU-4,1.0
385,alexnet,ReLU-4,1.0
386,alexnet,ReLU-4,1.0
387,alexnet,ReLU-4,0.75
388,alexnet,ReLU-4,1.0
389,alexnet,ReLU-4,1.0
390,alexnet,ReLU-4,1.0
391,alexnet,ReLU-4,1.0
392,alexnet,ReLU-4,1.0
393,alexnet,ReLU-4,1.0
394,alexnet,ReLU-4,1.0
395,alexnet,ReLU-4,1.0
396,alexnet,ReLU-4,1.0
397,alexnet,ReLU-4,1.0
398,alexnet,ReLU-4,1.0
399,alexnet,ReLU-4,1.0
400,alexnet,ReLU-4,1.0
401,alexnet,ReLU-4,1.0
402,alexnet,ReLU-4,1.0
403,alexnet,ReLU-4,1.0
404,alexnet,ReLU-4,1.0
405,alexnet,ReLU-4,0.75
406,alexnet,ReLU-4,1.0
407,alexnet,ReLU-4,1.0
408,alexnet,ReLU-4,1.0
409,alexnet,ReLU-4,0.75
410,alexnet,ReLU-4,1.0
411,alexnet,ReLU-4,0.75
412,alexnet,ReLU-4,1.0
413,alexnet,ReLU-4,1.0
414,alexnet,ReLU-4,1.0
415,alexnet,ReLU-4,0.75
416,alexnet,ReLU-4,1.0
417,alexnet,ReLU-4,1.0
418,alexnet,ReLU-4,1.0
419,alexnet,ReLU-4,1.0
420,alexnet,ReLU-4,1.0
421,alexnet,ReLU-4,1.0
422,alexnet,ReLU-4,0.75
423,alexnet,ReLU-4,0.75
424,alexnet,ReLU-4,1.0
425,alexnet,ReLU-4,0.75
426,alexnet,ReLU-4,1.0
427,alexnet,ReLU-4,1.0
428,alexnet,ReLU-4,1.0
429,alexnet,ReLU-4,1.0
430,alexnet,ReLU-4,1.0
431,alexnet,ReLU-4,1.0
432,alexnet,ReLU-4,1.0
433,alexnet,ReLU-4,1.0
434,alexnet,ReLU-4,1.0
435,alexnet,ReLU-4,0.75
436,alexnet,ReLU-4,1.0
437,alexnet,ReLU-4,1.0
438,alexnet,ReLU-4,1.0
439,alexnet,ReLU-4,1.0
440,alexnet,ReLU-4,1.0
441,alexnet,ReLU-4,1.0
442,alexnet,ReLU-4,0.75
443,alexnet,ReLU-4,1.0
444,alexnet,ReLU-4,1.0
445,alexnet,ReLU-4,1.0
446,alexnet,ReLU-4,1.0
447,alexnet,ReLU-4,1.0
448,alexnet,ReLU-4,1.0
449,alexnet,ReLU-4,1.0
